"","...1","Timestamp","ID","Age","Gender","Condition","ReactionTime","keypress","Stimulus","File","stimcolour","correct","congruency"
"319",17,"2021_Dec_13_1008","hej",23,"Female","2",2.65085542100132,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"320",19,"2021_Dec_13_1008","hej",23,"Female","2",0.901585481973598,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"321",20,"2021_Dec_13_1008","hej",23,"Female","2",2.66804045901517,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"322",21,"2021_Dec_13_1008","hej",23,"Female","2",1.14526564499829,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"323",22,"2021_Dec_13_1008","hej",23,"Female","2",0.698350958002266,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"324",24,"2021_Dec_13_1008","hej",23,"Female","2",0.756423832004657,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"325",25,"2021_Dec_13_1008","hej",23,"Female","2",0.905584832013119,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"326",26,"2021_Dec_13_1008","hej",23,"Female","2",0.868458441022085,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"327",27,"2021_Dec_13_1008","hej",23,"Female","2",1.15749271999812,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"328",28,"2021_Dec_13_1008","hej",23,"Female","2",0.970989595982246,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"329",29,"2021_Dec_13_1008","hej",23,"Female","2",0.71129870400182,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"330",31,"2021_Dec_13_1008","hej",23,"Female","2",3.09020531599526,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"331",32,"2021_Dec_13_1008","hej",23,"Female","2",1.99950234498829,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"332",33,"2021_Dec_13_1008","hej",23,"Female","2",1.08087586797774,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"333",34,"2021_Dec_13_1008","hej",23,"Female","2",2.50139550099266,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"334",35,"2021_Dec_13_1008","hej",23,"Female","2",1.26093389801099,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"335",36,"2021_Dec_13_1008","hej",23,"Female","2",0.796840662980685,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"336",37,"2021_Dec_13_1008","hej",23,"Female","2",0.608131532004336,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"337",38,"2021_Dec_13_1008","hej",23,"Female","2",1.0903241460037,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"338",39,"2021_Dec_13_1008","hej",23,"Female","2",0.88942271497217,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"339",40,"2021_Dec_13_1008","hej",23,"Female","2",0.666116275009699,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"340",41,"2021_Dec_13_1008","hej",23,"Female","2",1.00489068601746,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"341",42,"2021_Dec_13_1008","hej",23,"Female","2",1.05258980102371,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"342",43,"2021_Dec_13_1008","hej",23,"Female","2",0.906237913994119,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"343",44,"2021_Dec_13_1008","hej",23,"Female","2",0.912440324987983,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"344",45,"2021_Dec_13_1008","hej",23,"Female","2",1.50150579199544,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"345",46,"2021_Dec_13_1008","hej",23,"Female","2",1.22944600600749,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"346",47,"2021_Dec_13_1008","hej",23,"Female","2",1.03862504599965,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"347",48,"2021_Dec_13_1008","hej",23,"Female","2",1.69951051200042,"r","r","logfile_hej_2021_Dec_13_1008_2.csv","r",1,"1"
"348",49,"2021_Dec_13_1008","hej",23,"Female","2",0.919994616007898,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
"349",50,"2021_Dec_13_1008","hej",23,"Female","2",0.901005558000179,"y","y","logfile_hej_2021_Dec_13_1008_2.csv","y",1,"0"
